"","sub_id","likelihood_prop","riskiness_prop","benefits_prop","CDI_prop","Ethical_prop","Ethical_likelihood_prop","Ethical_riskiness_prop","Ethical_benefits_prop","Social_prop","Social_likelihood_prop","Social_riskiness_prop","Social_benefits_prop","Recreational_prop","Recreational_likelihood_prop","Recreational_riskiness_prop","Recreational_benefits_prop","Financial_prop","Financial_likelihood_prop","Financial_riskiness_prop","Financial_benefits_prop","HS_prop","HS_likelihood_prop","HS_riskiness_prop","HS_benefits_prop","attention_prop"
"19","A941",0.4,0.752380952380952,0.5,0.0666666666666667,0.547619047619048,0.214285714285714,0.785714285714286,0.642857142857143,0.531746031746032,0.642857142857143,0.428571428571429,0.523809523809524,0.523809523809524,0.404761904761905,0.857142857142857,0.30952380952381,0.682539682539683,0.523809523809524,0.738095238095238,0.785714285714286,0.468253968253968,0.214285714285714,0.952380952380952,0.238095238095238,1
"20","A544",0.557142857142857,0.571428571428571,0.452380952380952,0,0.492063492063492,0.380952380952381,0.523809523809524,0.571428571428571,0.579365079365079,0.761904761904762,0.404761904761905,0.571428571428571,0.531746031746032,0.714285714285714,0.595238095238095,0.285714285714286,0.563492063492063,0.523809523809524,0.595238095238095,0.571428571428571,0.468253968253968,0.404761904761905,0.738095238095238,0.261904761904762,0.75
"21","A1032",0.485714285714286,0.561904761904762,0.480952380952381,0.133333333333333,0.404761904761905,0.333333333333333,0.547619047619048,0.333333333333333,0.619047619047619,0.738095238095238,0.357142857142857,0.761904761904762,0.619047619047619,0.738095238095238,0.452380952380952,0.666666666666667,0.531746031746032,0.333333333333333,0.80952380952381,0.452380952380952,0.373015873015873,0.285714285714286,0.642857142857143,0.19047619047619,1
"22","A198",0.280952380952381,0.761904761904762,0.30952380952381,0.316666666666667,0.396825396825397,0.166666666666667,0.880952380952381,0.142857142857143,0.484126984126984,0.476190476190476,0.476190476190476,0.5,0.5,0.380952380952381,0.69047619047619,0.428571428571429,0.468253968253968,0.238095238095238,0.880952380952381,0.285714285714286,0.404761904761905,0.142857142857143,0.880952380952381,0.19047619047619,1
"23","A553",0.423809523809524,0.685714285714286,0.528571428571429,0,0.444444444444444,0.19047619047619,0.738095238095238,0.404761904761905,0.611111111111111,0.595238095238095,0.547619047619048,0.69047619047619,0.674603174603175,0.69047619047619,0.69047619047619,0.642857142857143,0.571428571428571,0.357142857142857,0.714285714285714,0.642857142857143,0.428571428571429,0.285714285714286,0.738095238095238,0.261904761904762,1
"24","A116",0.485714285714286,0.538095238095238,0.509523809523809,0.05,0.53968253968254,0.476190476190476,0.523809523809524,0.619047619047619,0.476190476190476,0.571428571428571,0.404761904761905,0.452380952380952,0.492063492063492,0.547619047619048,0.452380952380952,0.476190476190476,0.53968253968254,0.261904761904762,0.785714285714286,0.571428571428571,0.507936507936508,0.571428571428571,0.523809523809524,0.428571428571429,1
"25","A1124",0.528571428571429,0.604761904761905,0.509523809523809,0.35,0.404761904761905,0.285714285714286,0.69047619047619,0.238095238095238,0.714285714285714,0.761904761904762,0.523809523809524,0.857142857142857,0.619047619047619,0.761904761904762,0.452380952380952,0.642857142857143,0.571428571428571,0.452380952380952,0.642857142857143,0.619047619047619,0.428571428571429,0.380952380952381,0.714285714285714,0.19047619047619,1
"26","A573",0.614285714285714,0.685714285714286,0.547619047619048,0.25,0.555555555555556,0.5,0.761904761904762,0.404761904761905,0.674603174603175,0.714285714285714,0.476190476190476,0.833333333333333,0.666666666666667,0.571428571428571,0.69047619047619,0.738095238095238,0.587301587301587,0.5,0.785714285714286,0.476190476190476,0.595238095238095,0.785714285714286,0.714285714285714,0.285714285714286,1
"27","A535",0.552380952380952,0.680952380952381,0.457142857142857,0.183333333333333,0.428571428571429,0.428571428571429,0.476190476190476,0.380952380952381,0.547619047619048,0.714285714285714,0.404761904761905,0.523809523809524,0.682539682539683,0.642857142857143,0.833333333333333,0.571428571428571,0.523809523809524,0.357142857142857,0.80952380952381,0.404761904761905,0.634920634920635,0.619047619047619,0.880952380952381,0.404761904761905,1
"28","A110",0.433333333333333,0.657142857142857,0.361904761904762,0.183333333333333,0.547619047619048,0.476190476190476,0.666666666666667,0.5,0.53968253968254,0.595238095238095,0.428571428571429,0.595238095238095,0.5,0.5,0.619047619047619,0.380952380952381,0.428571428571429,0.285714285714286,0.80952380952381,0.19047619047619,0.404761904761905,0.30952380952381,0.761904761904762,0.142857142857143,1
"29","A1161",0.404761904761905,0.585714285714286,0.314285714285714,0.583333333333333,0.436507936507937,0.285714285714286,0.547619047619048,0.476190476190476,0.46031746031746,0.5,0.428571428571429,0.452380952380952,0.357142857142857,0.285714285714286,0.642857142857143,0.142857142857143,0.507936507936508,0.642857142857143,0.595238095238095,0.285714285714286,0.412698412698413,0.30952380952381,0.714285714285714,0.214285714285714,1
"30","A333",0.552380952380952,0.542857142857143,0.533333333333333,0.1,0.468253968253968,0.404761904761905,0.523809523809524,0.476190476190476,0.563492063492063,0.714285714285714,0.333333333333333,0.642857142857143,0.642857142857143,0.80952380952381,0.452380952380952,0.666666666666667,0.595238095238095,0.476190476190476,0.785714285714286,0.523809523809524,0.444444444444444,0.357142857142857,0.619047619047619,0.357142857142857,1
"31","A1176",0.40952380952381,0.59047619047619,0.533333333333333,0.216666666666667,0.452380952380952,0.214285714285714,0.547619047619048,0.595238095238095,0.571428571428571,0.547619047619048,0.547619047619048,0.619047619047619,0.523809523809524,0.595238095238095,0.547619047619048,0.428571428571429,0.5,0.333333333333333,0.619047619047619,0.547619047619048,0.507936507936508,0.357142857142857,0.69047619047619,0.476190476190476,1
"32","A367",0.433333333333333,0.647619047619048,0.414285714285714,0.0333333333333333,0.523809523809524,0.5,0.5,0.571428571428571,0.563492063492063,0.642857142857143,0.333333333333333,0.714285714285714,0.428571428571429,0.238095238095238,0.857142857142857,0.19047619047619,0.468253968253968,0.261904761904762,0.857142857142857,0.285714285714286,0.507936507936508,0.523809523809524,0.69047619047619,0.30952380952381,1
"33","A476",0.371428571428571,0.528571428571429,0.509523809523809,0,0.436507936507937,0.357142857142857,0.428571428571429,0.523809523809524,0.547619047619048,0.666666666666667,0.30952380952381,0.666666666666667,0.5,0.261904761904762,0.69047619047619,0.547619047619048,0.412698412698413,0.166666666666667,0.571428571428571,0.5,0.452380952380952,0.404761904761905,0.642857142857143,0.30952380952381,1
"34","A1225",0.49047619047619,0.628571428571429,0.514285714285714,0.166666666666667,0.428571428571429,0.30952380952381,0.452380952380952,0.523809523809524,0.563492063492063,0.642857142857143,0.404761904761905,0.642857142857143,0.634920634920635,0.547619047619048,0.714285714285714,0.642857142857143,0.563492063492063,0.476190476190476,0.785714285714286,0.428571428571429,0.531746031746032,0.476190476190476,0.785714285714286,0.333333333333333,1
"35","A927",0.40952380952381,0.714285714285714,0.466666666666667,0.0833333333333333,0.404761904761905,0.285714285714286,0.666666666666667,0.261904761904762,0.666666666666667,0.785714285714286,0.404761904761905,0.80952380952381,0.603174603174603,0.428571428571429,0.69047619047619,0.69047619047619,0.46031746031746,0.142857142857143,0.928571428571429,0.30952380952381,0.515873015873016,0.404761904761905,0.880952380952381,0.261904761904762,1
"36","A1358",0.395238095238095,0.59047619047619,0.433333333333333,0.0333333333333333,0.46031746031746,0.333333333333333,0.666666666666667,0.380952380952381,0.46031746031746,0.523809523809524,0.333333333333333,0.523809523809524,0.492063492063492,0.5,0.571428571428571,0.404761904761905,0.571428571428571,0.357142857142857,0.69047619047619,0.666666666666667,0.380952380952381,0.261904761904762,0.69047619047619,0.19047619047619,1
"37","A1380",0.457142857142857,0.728571428571429,0.447619047619048,0.0166666666666667,0.404761904761905,0.214285714285714,0.785714285714286,0.214285714285714,0.69047619047619,0.80952380952381,0.523809523809524,0.738095238095238,0.634920634920635,0.642857142857143,0.714285714285714,0.547619047619048,0.531746031746032,0.357142857142857,0.738095238095238,0.5,0.46031746031746,0.261904761904762,0.880952380952381,0.238095238095238,1
