alpha_pos,alpha_neg,risk_good_reward,risk_bad_reward
0.65,0.25,-4.57692307692308,-0.461538461538462
0.75,0.25,11.0769230769231,13
0.85,0.25,27.6923076923077,-1.92307692307692
0.95,0.25,8.92307692307693,6.07692307692308
0.05,0.35,-1.69230769230769,12.0384615384615
0.15,0.35,-3.73076923076923,8.11538461538461
0.25,0.35,-8.19230769230769,14.7692307692308
0.35,0.35,-9.11538461538461,8.73076923076923
0.45,0.35,-11,15.4615384615385
0.55,0.35,-3.38461538461538,4.15384615384615
0.65,0.35,5.46153846153846,8.88461538461539
0.75,0.35,-7.19230769230769,6.11538461538462
0.85,0.35,-7.69230769230769,8.30769230769231
0.95,0.35,-5.26923076923077,6.73076923076923
0.05,0.45,-13.1153846153846,5.57692307692308
0.15,0.45,-1.73076923076923,-5.80769230769231
0.25,0.45,-8.88461538461538,2
0.35,0.45,-4.11538461538461,6.80769230769231
0.45,0.45,-2.69230769230769,18.5769230769231
0.55,0.45,-4.26923076923077,8.42307692307692
0.65,0.45,-3.3076923076923,2.84615384615385
0.75,0.45,-9.23076923076923,6.19230769230769
0.85,0.45,-13.8076923076923,3.69230769230769
0.95,0.45,3,1.19230769230769
0.05,0.55,-6.30769230769231,11.2307692307692
0.15,0.55,-4.07692307692308,11.0769230769231
0.25,0.55,0.192307692307693,14.3846153846154
0.35,0.55,-13.5,9.96153846153846
0.45,0.55,-1.15384615384615,5.61538461538462
0.55,0.55,-16.8461538461538,5
0.65,0.55,-8.11538461538461,6.69230769230769
0.75,0.55,-11.2307692307692,4.57692307692308
0.85,0.55,-9.42307692307692,7.80769230769231
0.95,0.55,-10.1923076923077,3.42307692307692
0.05,0.65,-6.26923076923077,9.61538461538462
0.15,0.65,-12.4615384615385,15.5
0.25,0.65,-9.19230769230769,8.26923076923077
0.35,0.65,-16.6538461538461,14.0384615384615
0.45,0.65,-10.3846153846154,10.5
0.55,0.65,-9.42307692307692,5.69230769230769
0.65,0.65,-5.15384615384615,9.80769230769231
0.75,0.65,-0.69230769230769,3.07692307692308
0.85,0.65,-1.57692307692307,6.03846153846154
0.95,0.65,-14.0769230769231,6.73076923076923
0.05,0.75,-12.1923076923077,5.15384615384615
0.15,0.75,-2.15384615384615,9.19230769230769
0.25,0.75,-1.53846153846154,11.0384615384615
0.35,0.75,-9.23076923076923,13.9615384615385
0.45,0.75,-9.11538461538461,12.8461538461538
0.55,0.75,-9.80769230769231,2.61538461538462
0.65,0.75,-13.0384615384615,7.96153846153846
0.75,0.75,-8.53846153846154,16.5
0.85,0.75,-13.6153846153846,8.03846153846154
0.95,0.75,-11.3846153846154,8.42307692307692
0.05,0.85,-3.84615384615385,6.65384615384616
0.15,0.85,-16.1923076923077,3.73076923076923
0.25,0.85,-12.1153846153846,12.2692307692308
0.35,0.85,-11.0384615384615,7.42307692307692
0.45,0.85,-7.03846153846154,11.0769230769231
0.55,0.85,-10.8846153846154,9.46153846153846
0.65,0.85,-6.38461538461538,3.26923076923077
0.75,0.85,-11.9615384615385,7.34615384615385
0.85,0.85,-13.0384615384615,1.65384615384615
0.95,0.85,-6.65384615384615,12.3846153846154
0.05,0.95,-7.73076923076923,7.57692307692308
0.15,0.95,-6.34615384615385,3.23076923076923
0.25,0.95,-6.38461538461538,5.5
0.35,0.95,-5.38461538461539,9.03846153846154
0.45,0.95,-5.5,4.65384615384615
