matlab_id,1L,2L,4L
76,508.692766591261,432.095363715223,429.133279102712
77,539.084172314161,537.666348185559,511.308767655558
78,554.061164712967,547.402668897635,551.257723699292
79,509.717857744522,511.143245273977,511.977698746854
81,443.463151076403,436.389536068707,432.506555450004
82,469.566881580073,468.385311504326,445.00143125986
83,501.229163597982,479.398492586519,483.332708948724
84,513.165898204873,495.509484135048,495.337013286
85,553.545054694003,554.70918060442,554.833964592062
87,555.120329900212,554.812843645972,557.054515412392
88,281.442979726892,244.170134456657,229.520508560594
89,524.247559193994,528.663031181423,526.615338646773
90,522.757429975429,524.757322687345,526.473799401297
91,499.195817878563,455.961849374552,457.299708569757
92,554.813992117566,556.42618651334,554.84597587156
93,253.306419704824,249.547491419358,253.635409975749
94,507.953785973893,502.468146438641,502.047981505182
95,474.025067535305,474.833357019844,476.833881083521
96,494.641832664745,354.673433022026,332.407398768058
97,551.879055615421,553.732720113395,556.625545680258
98,363.197007284145,329.216931197889,325.535688949071
99,462.969384319431,462.591180952552,458.360380064115
100,515.96719779943,510.911774790379,514.547228938189
103,430.391261100208,426.413780631567,411.402383917181
104,446.480808628661,420.728211590472,419.702896814246
105,555.640460129338,557.346510305541,560.100908761672
106,555.85644864815,550.770154875785,536.160244018408
107,485.595986338175,483.694589809184,486.911012992516
108,528.383057158865,520.37033716623,522.902214372026
109,538.734543453058,535.616126712995,532.126883426851
110,550.222727276086,551.340006547625,495.885673199842
111,351.24655867663,346.120491067836,338.738032090736
112,300.350249574959,231.896081089903,228.376122220316
113,453.242038627125,454.027934464936,456.480739763274
114,356.775711873135,281.800360243115,279.648009222334
115,443.173514184405,441.626446297601,401.19267352804
116,526.123842514846,520.247416339721,496.748113940342
117,534.119784996655,533.785934472768,493.002404739005
119,469.205409104334,471.204577117925,456.688770397396
120,535.572158938466,537.570517223218,539.976321064521
122,541.716497183182,534.575399415675,534.483331155072
124,393.474127660919,170.691069489255,146.803645367684
125,409.567563713197,411.612188782674,414.411102454195
126,557.773566179927,559.535647895196,561.788020702726
127,520.055117118447,506.884937209792,499.502295230638
128,307.730378438735,296.709300345879,282.220542614207
129,522.477663425433,436.122799675671,439.2915234779
130,399.495174540239,350.643359112031,345.434084696976
131,544.618577763646,544.692408232395,547.582624394002
132,438.545810471016,440.586946715499,440.50675270522
133,558.214435799203,424.466352306048,417.92492294658
134,543.322746485264,541.063805613756,526.613668241252
135,554.634060824978,547.240536105804,539.801839473315
136,476.260978381128,475.638729151116,436.247480660506
137,116.328435546423,111.984997007195,102.776512626375
138,481.386441349652,472.939992525963,464.616567181358
139,554.699632190163,556.822440719311,560.695455180941
140,553.079863306848,550.830253297661,547.240007705583
141,508.763528783661,495.49033056104,466.766820527807
142,500.797526011418,249.435272876294,229.419753306042
143,430.881929320846,431.405807517139,388.211707620872
144,398.830962555019,375.998391404636,377.658433217419
145,552.715441405772,554.091088978922,556.812496178853
146,558.034112743042,553.115855380733,539.336828607488
147,443.285489362037,440.20117383694,397.91817077898
149,557.115621376692,559.128239723377,562.970043469326
150,457.076975708026,452.201146559742,438.656625744865
151,514.851639035693,506.652714813631,498.467039703593
152,340.113976705801,341.33210261425,340.893662768926
153,555.93968262201,554.927001162653,558.660205663014
154,479.495948526603,478.86926825825,475.215253867481
